,Team,ID,Batting_Games,At_Bats,Batting_Runs,Batting_Hits,Doubles,Triples,Batting_Home_Runs,Runs_Batted_In,Batting_Bases_On_Balls,Batting_Strike_Outs,Stolen_Bases,Caught_Stealing,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging,Pitching_Games,Pitching_Games_Started,Wins,Losses,Saves,Blown_Saves,Holds,Complete_Games,Shutouts,Innings_Pitched,Pitching_Hits,Pitching_Runs,Earned_Runs,Pitching_Home_Runs,Pitching_Bases_On_Balls,Pitching_Strikeouts,Earned_Runs_Average,Walks_Plus_Hits_Per_Inning_Pitched,Batting_Average_Against,Fielding_Games,Position,Fielding_Games_Started,Innings,Putouts,Total_Chance,Assists,Errors,Double_Plays,Fielding
945,sfo,7749.0,514,1246,134,322,57,5,15,110,64,128,7,5,.258,.312,.348,.660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376,1B,284,2626,721,1280,527,32,108,.975
946,sfo,8972.0,244,597,43,143,33,0,10,87,25,156,0,1,.240,.274,.345,.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162,C,123,1151,947,1037,79,11,7,.989
947,sfo,10019.0,5,12,0,2,0,0,0,0,1,1,1,0,.167,.231,.167,.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,LF,3,26,4,4,0,0,0,1.000
948,sfo,7981.0,262,474,26,53,4,2,0,19,34,244,0,0,.112,.171,.129,.300,269,261,108,83,1,0,0,10,7,1643.2,1438,705,660,136,646,1704,3.61,1.27,.235,269,P,261,1643,92,260,158,10,6,.962
949,sfo,6571.0,250,292,23,42,9,0,1,11,15,120,0,0,.144,.196,.185,.380,265,165,58,68,0,2,2,2,1,1107.2,1124,590,548,118,431,839,4.45,1.40,.264,265,P,165,1107,64,196,128,4,13,.980
950,sfo,9353.0,76,127,14,25,3,0,1,8,8,32,0,0,.197,.244,.244,.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,2B,22,227,57,112,53,2,16,.982
951,sfo,8680.0,198,364,41,77,16,1,6,23,9,147,0,0,.212,.235,.310,.545,177,172,64,52,0,0,0,4,1,1083.2,1102,499,467,134,275,730,3.88,1.27,.265,177,P,172,1083,132,307,164,11,14,.964
952,sfo,6883.0,431,17,0,3,0,0,0,2,2,6,0,0,.176,.263,.176,.440,774,42,43,46,28,26,142,0,0,926.0,904,455,408,76,396,720,3.97,1.40,.256,774,P,42,926,45,242,184,13,13,.946
953,sfo,7495.0,288,552,25,67,10,1,6,27,21,271,0,0,.121,.155,.176,.330,294,291,97,99,0,0,0,15,6,1872.0,1589,767,722,177,631,1547,3.47,1.19,.230,294,P,291,1872,114,328,200,14,10,.957
954,sfo,7699.0,154,112,6,5,0,0,0,3,3,47,0,0,.045,.070,.045,.114,161,57,20,27,1,0,0,2,1,475.0,476,253,242,77,127,416,4.59,1.27,.258,161,P,57,475,20,64,41,3,1,.953
955,sfo,7734.0,488,944,114,241,49,5,23,137,85,257,3,2,.255,.321,.391,.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344,1B,210,2033,1815,1970,145,10,179,.995
956,sfo,8282.0,205,6,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000,475,0,31,26,80,18,128,0,0,409.0,305,127,117,34,82,465,2.57,0.95,.203,475,P,0,409,13,58,44,1,0,.983
